 NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
  461              -4.85452e-06      -7.40127e-07      -3.70604e-05
  462               0.00000e+00       0.00000e+00       0.00000e+00
  463               0.00000e+00       0.00000e+00       0.00000e+00
  464              -5.00901e-06      -4.95474e-07       3.82512e-05
  465              -1.82872e-05      -1.84024e-06       6.64356e-05
  466              -3.75207e-05      -3.83342e-06       8.61408e-05
  467              -6.07670e-05      -6.29190e-06       9.87537e-05
  468              -8.64070e-05      -9.05255e-06       1.05476e-04
  469              -1.13101e-04      -1.19725e-05       1.07343e-04
  470              -1.39748e-04      -1.49285e-05       1.05240e-04
  471              -1.65453e-04      -1.78155e-05       9.99182e-05
